Base Shield;;;378;11;;20;en;Base Shield;;+1 Shield if not affected by any Shield on turn start.;
Beneficial Contamination;;274;135;;;15;en;Beneficial Contamination;;+2 AP on applying a Status Effect. Once per turn.;
Break Specialist;;2705;546;;;1;en;Break Specialist;;Break damage is increased by 50%, but base damage is reduced by 20%.;
Breaker;;;26;9;;10;en;Breaker;;25% increased Break damage.;
Breaking Attack;;;154;17;;10;en;Breaking Attack;;Base Attack can Break.;
Breaking Burn;;;243;9;;5;en;Breaking Burn;;25% increased Break damage on Burning enemies.;
Breaking Counter;;;43;10;;3;en;Breaking Counter;;50% increased Break damage on Counterattack.;
Breaking Death;;;586;33;;;en;Breaking Death;;Fully charge enemy's Break Bar on death.;
Breaking Shots;;;;;;1;en;Breaking Shots;;50% increased Break damage with Free Aim shots.;
Breaking Slow;;;162;17;;5;en;Breaking Slow;;25% increased Break damage against Slowed enemies.;
Burn Affinity;;;439;12;;10;en;Burn Affinity;;25% increased damage on Burning targets.;
Burning Break;;;;24;1541;3;en;Burning Break;;Apply 3 Burn stacks on Breaking a target.;
Burning Death;;;546;32;;5;en;Burning Death;;Apply 3 Burn to all enemies on Death.;
Burning Mark;;32;;;44;15;en;Burning Mark;;Apply Burn on hitting a Marked enemy.;
Burning Shots;;;1376;8;;3;en;Burning Shots;;20% chance to Burn on Free Aim shot.;
Charging Alteration;;1501;546;;;10;en;Charging Alteration;;+10% of a Gradient Charge on applying a Buff. Once per turn.;
Charging Attack;;266;;22;;7;en;Charging Attack;;+15% of a Gradient Charge on Base Attack.;
Charging Burn;;;639;;3152;10;en;Charging Burn;;+20% of a Gradient Charge on applying Burn. Once per turn.;
Charging Counter;;;647;;1333;10;en;Charging Counter;;+10% of a Gradient Charge on Counterattack.;
Charging Critical;;1891;;35;;10;en;Charging Critical;;+20% of a Gradient Charge on hitting a Critical Hit. Once per turn.;
Charging Mark;;;413;27;;10;en;Charging Mark;;+20% of a Gradient Charge on hitting a Marked target. Once per turn.;
Charging Stun;;;182;;922;5;en;Charging Stun;;+5% of a Gradient Charge on hitting a Stunned enemy.;
Charging Tint;;122;;;329;2;en;Charging Tint;;+5% of a Gradient Charge on using an item.;
Charging Weakness;;;280;23;;5;en;Charging Weakness;;+15% of a Gradient Charge on hitting a Weakness. Once per turn.;
Cheater;;;400;;1198;40;en;Cheater;;Always play twice in a row.;
Clea's Life;;;;;5591;30;en;Clea's Life;;On turn start, if no damage taken since last turn, recover 100% Health.;
Cleansing Tint;;319;;;778;5;en;Cleansing Tint;;Healing Tints also remove all Status Effects from the target.;
Combo Attack I;;;93;6;;10;en;Combo Attack I;;Base Attack has 1 extra hit.;
Combo Attack II;;;836;16;;20;en;Combo Attack II;;Base Attack has 1 extra hit.;
Combo Attack III;;;619;14;;30;en;Combo Attack III;;Base Attack has 1 extra hit.;
Confident;;;519;31;;20;en;Confident;;Take 50% less damage, but can't be healed.;
Confident Fighter;;;;20;222;15;en;Confident Fighter;;Deal 30% more damage, but can't be healed.;
Critical Break;;;203;8;;5;en;Critical Break;;25% increased Break damage on Critical hits.;
Critical Burn;;;413;27;;;en;Critical Burn;;25% increased Critical Chance on Burning enemies.;
Critical Moment;;;26;7;;;en;Critical Moment;;50% increased Critical Chance if Health is below 30%.;
Critical Stun;;681;;23;;5;en;Critical Stun;;100% Critical Chance on hitting a Stunned target.;
Critical Vulnerability;;116;62;;;5;en;Critical Vulnerability;;25% increased Critical Chance on Defenceless enemies.;
Critical Weakness;;;670;14;;5;en;Critical Weakness;;25% increased Critical Chance on Weakness.;
Dead Energy I;;;162;17;;2;en;Dead Energy I;;+3 AP on killing an enemy.;
Dead Energy II;;;162;7;;2;en;Dead Energy II;;+3 AP on killing an enemy.;
Death Bomb;;;43;10;;5;en;Death Bomb;;On Death, deal damage to all enemies.;
Defensive Mode;;71;;;216;1;en;Defensive Mode;;On receiving damage, consume 1 AP to take 30% less damage, if possible.;
Dodger;;;12;3;;1;en;Dodger;;Gain 1 AP on Perfect Dodge. Once per turn.;
Double Burn;;;399;11;;30;en;Double Burn;;On applying a Burn stack, apply a second one.;
Double Mark;;;236;;;20;en;Double Mark;;Mark requires 1 more hit to be removed.;
Draining Cleanse;;324;;;2000;15;en;Draining Cleanse;;Consume 1 AP to prevent Status Effects application, if possible.;
Effective Heal;;341;;;284;30;en;Effective Heal;;Double all Heals received.;
Effective Support;;;142;;721;5;en;Effective Support;;+2 AP on using an item.;
Empowering Attack;;;399;11;;10;en;Empowering Attack;;Gain Powerful for 1 turn on Base Attack.;
Empowering Break;;;546;32;;3;en;Empowering Break;;Gain Powerful on Breaking a target.;
Empowering Dodge;;;162;17;;5;en;Empowering Dodge;;5% increased damage for each consecutive successful Dodge. Can stack up to 10 times.;
Empowering Last Stand;;;;10;168;3;en;Empowering Last Stand;;Gain Powerful if fighting alone.;
Empowering Parry;;;162;17;;5;en;Empowering Parry;;Each successful Parry increases damage by 5% until end of the following turn. Taking any damage removes this buff.;
Empowering Tint;;;546;;2705;5;en;Empowering Tint;;Healing Tints also apply Powerful.;
Energetic Healer;;1426;519;;;5;en;Energetic Healer;;+2 AP on Healing an ally. Once per turn.;
Energising Attack I;;;958;18;;10;en;Energising Attack I;;+1 AP on Base Attack.;
Energising Attack II;;120;177;;;15;en;Energising Attack II;;+1 AP on Base Attack.;
Energising Break;;;14;7;;3;en;Energising Break;;+3 AP on Breaking a target.;
Energising Burn;;401;321;;;10;en;Energising Burn;;+1 AP on applying Burn. Once per turn.;
Energising Cleanse;;160;;;1166;10;en;Energising Cleanse;;Dispel the first negative Status Effect received and gain 2 AP.;
Energising Death;;771;308;;;5;en;Energising Death;;On death, +4 AP to allies.;
Energising Gradient;;;293;10;;10;en;Energising Gradient;;+1 AP per Gradient Charge consumed.;
Energising Heal;;;41;;206;10;en;Energising Heal;;On Healing an ally, also give 2 AP.;
Energising Jump;;;29;;44;5;en;Energising Jump;;+1 AP on Jump Counterattack;
Energising Pain;;713;;;3855;10;en;Energising Pain;;No longer gain AP on Parry. +1 AP on getting hit.;
Energising Parry;;;;;6303;15;en;Energising Parry;;+1 AP on successful Parry.;
Energising Powerful;;373;173;;;10;en;Energising Powerful;;Give 2 AP on applying Powerful.;
Energising Revive;;96;;;270;5;en;Energising Revive;;+3 AP to all allies when revived.;
Energising Rush;;801;321;;;10;en;Energising Rush;;Give 2 AP on applying Rush.;
Energising Shell;;319;154;;;10;en;Energising Shell;;Give 2 AP on applying Shell.;
Energising Shots;;;779;16;;;en;Energising Shots;;20% chance to gain 1 AP on Free Aim shot.;
Energising Start I;;;;;320;5;en;Energising Start I;;+1 AP on battle start.;
Energising Start II;;;;;175;10;en;Energising Start II;;+1 AP on battle start.;
Energising Start III;;;;;320;15;en;Energising Start III;;+1 AP on battle start.;
Energising Start IV;;;;;513;20;en;Energising Start IV;;+1 AP on battle start.;
Energising Stun;;;519;31;;10;en;Energising Stun;;+1 AP on hitting a Stunned target with a Skill.;
Energising Turn;;;;;;;en;Energising Turn;;;
Energy Master;;;;;4970;40;en;Energy Master;;Every AP gain is increased by 1.;
Enfeebling Attack;;478;;;389;10;en;Enfeebling Attack;;Base Attack applies Powerless for 1 turn.;
Enfeebling Mark;;102;21;;;10;en;Enfeebling Mark;;Marked targets deal 30% less damage.;
Exhausting Power;;96;;;270;2;en;Exhausting Power;;50% increased damage when Exhausted.;
Exposing Attack;;;20;4;;10;en;Exposing Attack;;;
Exposing Break;;681;280;;;5;en;Exposing Break;;Apply Defenceless on Break.;
Faster Than Strong;;373;;;876;10;en;Faster Than Strong;;Always play twice in a row, but deal 50% less damage.;
First Offensive;;;75;13;;5;en;First Offensive;;First hit dealt and taken deals 50% more damage.;
First Strike;;;41;10;;10;en;First Strike;;Play first.;
Fueling Break;;;507;31;;5;en;Fueling Break;;Breaking a target also doubles its Burn amount.;
Full Strength;;373;;;876;15;en;Full Strength;;25% increased damage on full Health.;
Glass Canon;;;532;;;10;en;Glass Canon;;Deal 25% more damage, but take 25% more damage.;
Gradient Break;;;434;28;;;en;Gradient Break;;+50% of a Gradient Charge on Breaking a target.;
Gradient Breaker;;;546;32;;5;en;Gradient Breaker;;50% increased Break damage with Gradient Attacks.;
Gradient Fighter;;;182;18;;5;en;Gradient Fighter;;25% increased damage with Gradient Attacks.;
Greater Defenceless;;;293;23;;15;en;Greater Defenceless;;+15% to Defenceless damage amplification.;
Greater Powerful;;;59;13;;10;en;Greater Powerful;;+15% to Powerful damage increase.;
Greater Powerless;;1727;597;;;15;en;Greater Powerless;;+15% to Powerless damage reduction.;
Greater Rush;;;439;12;;10;en;Greater Rush;;+25% to Rush Speed increase.;
Greater Shell;;240;;;599;10;en;Greater Shell;;+10% to Shell damage reduction.;
Greater Slow;;647;266;;;15;en;Greater Slow;;+10% to Slow Speed reduction.;
Healing Boon;;647;266;;;10;en;Healing Boon;;Heal 15% HP on applying buff.;
Healing Counter;;;;;751;10;en;Healing Counter;;Recover 25% Health on Counterattack.;
Healing Death;;;;13;78;5;en;Healing Death;;On death, the rest of the Expedition recover all Health.;
Healing Fire;;240;118;;;10;en;Healing Fire;;Recover 25% Health when attacking a Burning target. Once per turn.;
Healing Mark;;65;;;;20;en;Healing Mark;;Recover 25% Health on hitting a Marked enemy. Once per turn.;
Healing Parry;;152;;;395;5;en;Healing Parry;;Recover 3% Health on Parry.;
Healing Share;;;;14;467;5;en;Healing Share;;Receive 15% of all Heals affecting other characters.;
Healing Stun;;;173;;876;10;en;Healing Stun;;Recover 5% Health on hitting a Stunned target.;
Healing Tint Energy;;71;;;216;1;en;Healing Tint Energy;;Healing Tints also give 1 AP.;
Immaculate;;;103;15;;10;en;Immaculate;;30% increased damage until a hit is received.;
In Medias Res;;1310;;13;;10;en;In Medias Res;;+3 Shields on Battle Start, but max Health is halved.;
Inverted Affinity;;;;11;270;5;en;Inverted Affinity;;Apply Inverted on self for 3 turns on battle start. 50% increased damage while Inverted.;
Last Stand Critical;;50;;;168;3;en;Last Stand Critical;;100% Critical Chance while fighting alone.;
Longer Burn;;1426;;;2570;15;en;Longer Burn;;Burn duration is increased by 2.;
Longer Powerful;;;;13;376;10;en;Longer Powerful;;On applying Powerful, its duration is increased by 2.;
Longer Rush;;;154;;778;10;en;Longer Rush;;On applying Rush, its duration is increased by 2.;
Longer Shell;;1572;;;2757;10;en;Longer Shell;;On applying Shell, its duration is increased by 2.;
Marking Break;;;434;28;;5;en;Marking Break;;Apply Mark on Break.;
Marking Shots;;;26;2;;3;en;Marking Shots;;20% chance to apply Mark on Free Aim shot.;
Painted Power;;;;;1844;5;en;Painted Power;;Damage can exceed 9,999.;
Painter;;;519;31;;10;en;Painter;;Converts all Physical damage to Void damage.;
Perilous Parry;;;586;33;;5;en;Perilous Parry;;+1 AP on Parry, but damage received is doubled.;
Piercing Shot;;;;15;546;;en;Piercing Shot;;25% increased Free Aim damage. Free Aim shots ignore Shields.;
Powered Attack;;;132;7;;10;en;Powered Attack;;On every damage dealt, try to consume 1 AP. If succesful, increase damage by 20%.;
Powerful Heal;;;434;;2162;5;en;Powerful Heal;;Healing an ally also applies Powerful for 1 turn.;
Powerful Mark;;;779;16;;5;en;Powerful Mark;;Gain Powerful on hitting a Marked target.;
Powerful On Shell;;240;;16;;10;en;Powerful On Shell;;Apply Powerful on applying Shell.;
Powerful Revive;;;546;32;;3;en;Powerful Revive;;Apply Powerful for 3 turns when revived.;
Powerful Shield;;;651;14;;5;en;Powerful Shield;;10% increased damage per Shield Point on self.;
Powerful Shots;;44;;;983;3;en;Powerful Shots;;20% chance to gain Powerful on Free Aim shot.;
Pro Retreat;;;406;;2014;40;en;Pro Retreat;;Allows Flee to be instantaneous.;
Powerful Attack;;524;;;3081;10;en;Powerful Attack;;Gain Shell for 1 turn on Base Attack.;
Protecting Death;;118;;;599;;en;Protecting Death;;On death, allies gain Shell.;
Protecting Heal;;78;;;395;;en;Protecting Heal;;Healing an ally also applies Shell for 1 turn.;
Protecting Last Stand;;50;;;168;3;en;Protecting Last Stand;;Gain Shell if fighting alone.;
Protecting Shots;;301;;;4869;;en;Protecting Shots;;20% chance to gain Shell on Free Aim shot.;
Protecting Tint;;;681;;1403;;en;Protecting Tint;;Healing Tints also apply Shell.;
Quick Break;;;672;36;;3;en;Quick Break;;Play again on Breaking a target.;
Random Defense;;;;34;;;en;Random Defense;;Damage taken is randomly multiplied by as value between 50% and 200%.;
Recovery;;;324;;2000;;en;Recovery;;Recovers 10% Health on turn start.;
Rejuvenating Revive;;218;;;546;3;en;Rejuvenating Revive;;Apply Regen for 3 turns when revived.;
Revive Paradox;;;92;14;;5;en;Revive Paradox;;Play immediately when revived.;
Revive Tint Energy;;;92;;257;;en;Revive Tint Energy;;Revive Tints also give 3 AP.;
Rewarding Mark;;20;7;;;;en;Rewarding Mark;;+2 AP on dealing damage to a Marked target. Once per turn.;
Roulette;;;34;9;;5;en;Roulette;;Every hit has a 50% chance to deal either 50% or 200% of its damage.;
Rush On Powerful;;;639;35;;10;en;Rush On Powerful;;Apply Rush on applying Powerful.;
SOS Power;;43;;10;;5;en;SOS Power;;Apply Powerful when falling below 50% Health.;
SOS Rush;;288;142;;;;en;SOS Rush;;Apply Rush when falling below 50% Health.;
SOS Shell;;13;14;;;5;en;SOS Shell;;Apply Shell when falling below 50% Health.;
Second Chance;;;;8;1107;;en;Second Chance;;Revive with 100% Health. Once per battle.;
Shared Care;;68;;;206;;en;Shared Care;;When Healing an ally, also Heal self for 50% of that value.;
Shell On Rush;;1048;413;;;10;en;Shell On Rush;;Apply Shell on applying Rush.;
Shield Affinity;;118;;16;;;en;Shield Affinity;;30% increased damage while having Shields, but receiving any damage always removes all Shields.;
Shielding Death;;801;161;;;10;en;Shielding Death;;On death, allies gain 3 Shield points.;
Shielding Tint;;116;;;313;10;en;Shielding Tint;;Healing Tints also add 2 Shields.;
Shortcut;;182;;18;;;en;Shortcut;;Immediately play when falling below 30% Health. Once per battle.;
Slowing Break;;1501;546;;;5;en;Slowing Break;;Apply Slow on Break.;
Sniper;;552;;13;;;en;Sniper;;First Free Aim shot each turn deals 200% increased damage and can Break.;
Solidifying;;116;62;;;;en;Solidifying;;+2 Shields when the character's Health falls below 50%. Once per battle.;
Solo Fighter;;50;;;168;1;en;Solo Fighter;;Deal 50% more damage if fighting alone.;
Staggering Attack;;;21;4;;1;en;Staggering Attack;;50% increased Break damage on Base Attack.;
Stay Marked;;201;;12;;;en;Stay Marked;;50% chance to apply Mark when attacking a Marked target.;
Stun Boost;;;35;2;;10;en;Stun Boost;;30% increased damage on Stunned targets.;
Survivor;;;439;12;;;en;Survivor;;Survive fatal damage with 1 Health. Once per battle.;
Sweet Kill;;54;;11;;;en;Sweet Kill;;Recover 50% Health on killing an enemy.;
Tainted;;;1022;12;;;en;Tainted;;15% increased damage for each Status Effect on self.;
Teamwork;;;71;;216;5;en;Teamwork;;10% increased damage while all allies are alive.;
The One;;;;106;;1;en;The One;;Max Health reduced to 1.;
Time Tint;;145;;;376;;en;Time Tint;;Energy Tints also apply Rush.;
Versatile;;;21;4;;5;en;Versatile;;After a Free Aim hit, Base Attack damage is increased by 50% for 1 turn.;
Warming Up;;;;;;;en;Warming Up;;5% increased damage per turn. Can stack up to 5 turns.;
Weakness Gain;;162;;17;;;en;Weakness Gain;;+1 AP on hitting an enemy's Weakness. Once per turn.;
